EPISODE_ID,EVENT_ID,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME
133866,801997,EF2,18.2,700,,,,
135813,815036,EF0,1.24,50,,,,
135813,815043,EF0,1.18,200,,,,
135611,814845,EF2,6.68,700,,,,
134815,808530,EF0,2.68,80,,,,
136142,822280,EF2,10,1300,,,,
136142,822284,EF1,4.4,1000,,,,
136054,817002,EF0,1.5,50,,,,
136054,817003,EF1,1.43,75,,,,
135611,813620,EF0,0.62,70,,,,
135813,815047,EF1,9.13,300,BMX,AL,21,CHILTON
135813,815052,EF0,0.31,185,,,,
135813,814888,EF1,10.76,1175,BMX,AL,55,ETOWAH
135813,814890,EF0,2.69,1175,BMX,AL,115,ST.,CLAIR
135129,809914,EF2,10.6,300,,,,
136054,817004,EF0,0.59,75,,,,
136054,817005,EF0,5.08,75,,,,
135611,813627,EF2,19.16,1300,BMX,AL,81,LEE
135813,815055,EF0,5.06,150,,,,
135813,815057,EF0,0.24,88,,,,
135813,815061,EF0,5.79,350,,,,
135813,815038,EF0,4.71,530,,,,
135813,815040,EF0,4.48,100,,,,
134675,821591,EF0,0.16,50,,,,
135686,814180,EF1,5.04,180,,,,
135129,813553,EF1,5.67,400,CAE,SC,17,CALHOUN
135129,813554,EF1,2.15,400,,,,
136054,817017,EF0,2.86,100,,,,
136054,817024,EF1,2.17,100,,,,
135611,813629,EF1,9.91,1300,,,,
135813,814880,EF0,2.58,115,,,,
135813,815064,EF1,7.09,250,,,,
135813,815056,EF0,2.7,300,BMX,AL,47,DALLAS
136803,820829,EF1,3.51,475,,,,
136921,822087,EF0,9.75,100,,,,
135800,815346,EF1,11.22,150,,,,
134779,807845,EF0,1.14,50,VEF,CA,71,SAN,BERNARDINO
135129,813555,EF1,1.89,200,,,,
135129,813557,EF2,2.91,250,,,,
136054,817033,EF0,2.18,100,,,,
136054,817126,EF1,6.28,880,SGF,MO,9,BARRY
135505,812920,EF1,1.39,230,,,,
135505,812924,EF0,0.19,30,,,,
135505,812925,EF0,0.71,140,,,,
135611,813639,EF1,2.75,758,BMX,AL,81,LEE
135813,815060,EF0,6.12,350,BMX,AL,37,COOSA
135813,815068,EF2,8.58,650,,,,
136803,821276,EF1,3.76,95,,,,
136803,821283,EF0,0.57,50,FFC,GA,215,MUSCOGEE
136054,817127,EF1,6.06,880,,,,
135813,815069,EF0,4.38,75,,,,
134892,808644,EF0,1.71,100,,,,
134079,802638,EF0,3,35,,,,
136344,818316,EF0,0.1,20,,,,
136054,817134,EF1,11.14,100,SGF,MO,43,CHRISTIAN
135813,814892,EF0,3.75,1175,,,,
134905,816290,EF0,0.01,20,,,,
135534,813023,EF0,2.67,50,,,,
135534,813029,EF0,0.33,100,FFC,GA,145,HARRIS
135448,812377,EF0,0.23,30,,,,
136051,816725,EF0,1.97,50,,,,
136054,817137,EF1,12.15,100,,,,
136054,817153,EF0,1.9,75,,,,
136412,818715,EF0,2.06,15,,,,
136717,822200,EF0,8.02,150,TAE,FL,129,WAKULLA
135534,813033,EF0,5.1,100,FFC,GA,263,TALBOT
135534,813036,EF0,3.02,100,,,,
135534,813049,EF0,1.13,75,,,,
136054,817166,EF0,5.64,50,SGF,MO,161,PHELPS
